,year,conf_level,Intersection
874,2023,high,No intersection
875,2024,high,No intersection
876,2023,high,No intersection
877,2023,high,No intersection
878,2023,high,No intersection
879,2023,high,No intersection
880,2023,high,No intersection
881,2023,high,No intersection
882,2023,high,No intersection
883,2023,high,No intersection
884,2023,high,No intersection
885,2024,low,No intersection
886,2024,high,No intersection
887,2023,high,No intersection
888,2023,high,No intersection
889,2023,high,No intersection
890,2023,high,No intersection
891,2023,high,No intersection
892,2023,high,No intersection
893,2022,high,No intersection
894,2021,high,No intersection
895,2021,high,No intersection
896,2021,high,No intersection
897,2021,high,No intersection
898,2021,high,No intersection
899,2021,high,No intersection
900,2021,high,No intersection
901,2024,high,No intersection
902,2021,high,No intersection
903,2021,high,No intersection
904,2021,high,No intersection
905,2021,high,No intersection
906,2021,high,No intersection
907,2021,high,No intersection
908,2023,high,No intersection
909,2023,low,No intersection
910,2023,low,No intersection
911,2021,high,No intersection
912,2021,high,No intersection
913,2021,high,No intersection
914,2021,high,No intersection
915,2021,high,No intersection
916,2021,high,No intersection
917,2021,high,No intersection
918,2023,high,No intersection
919,2023,low,No intersection
920,2023,low,No intersection
921,2021,high,No intersection
922,2021,high,No intersection
923,2021,high,No intersection
924,2021,high,No intersection
925,2021,high,No intersection
926,2021,high,No intersection
927,2021,high,No intersection
928,2021,high,No intersection
929,2023,high,No intersection
930,2023,low,No intersection
931,2023,low,No intersection
932,2021,high,No intersection
933,2021,high,No intersection
934,2021,high,No intersection
935,2021,high,No intersection
936,2021,high,No intersection
937,2021,high,No intersection
938,2021,high,No intersection
939,2021,high,No intersection
940,2021,high,No intersection
941,2024,low,No intersection
942,2022,high,No intersection
943,2021,high,No intersection
944,2021,high,No intersection
945,2021,high,No intersection
946,2021,high,No intersection
947,2021,high,No intersection
948,2021,high,No intersection
949,2023,high,No intersection
950,2023,high,No intersection
951,2021,high,No intersection
952,2021,high,No intersection
953,2021,high,No intersection
954,2021,high,No intersection
955,2021,high,No intersection
956,2021,high,No intersection
957,2023,high,No intersection
958,2023,high,No intersection
959,2023,high,No intersection
960,2023,high,No intersection
961,2024,low,No intersection
962,2021,high,No intersection
963,2021,high,No intersection
964,2021,high,No intersection
965,2021,high,No intersection
966,2021,high,No intersection
967,2023,high,No intersection
968,2023,high,No intersection
969,2023,high,No intersection
970,2021,high,No intersection
971,2021,high,No intersection
972,2023,high,No intersection
973,2023,high,No intersection
974,2023,high,No intersection
975,2023,high,No intersection
976,2023,high,No intersection
977,2023,high,No intersection
978,2023,high,No intersection
979,2023,high,No intersection
980,2023,high,No intersection
981,2023,high,No intersection
982,2023,high,No intersection
